degree|reduced exceptional
12|1, 8, 9
15|1, 7, 10, 12
20|3, 8, 19
21|1, 10, 15, 16
28|5, 13, 17, 21
33|1, 4, 16, 22, 25, 31
35|1, 2, 16, 17, 21, 22, 30, 31
39|1, 16, 19, 22, 28, 31
44|8, 11, 15, 19, 27, 31, 43
51|1, 10, 13, 18, 22, 28, 34, 37, 43, 49
52|7, 15, 23, 27, 31, 35, 44
55|2, 6, 7, 17, 21, 32, 41, 46, 51, 52
57|7, 9, 16, 25, 28, 34, 37, 40, 43, 46
65|1, 2, 6, 16, 17, 21, 27, 32, 41, 42, 45, 47, 52, 55, 56, 60
68|7, 11, 19, 31, 35, 36, 39, 48, 55, 59
69|2, 8, 23, 26, 29, 32, 35, 41, 47, 50, 59, 62
76|3, 11, 15, 19, 31, 39, 43, 59, 63, 67, 68
77|2, 4, 15, 16, 25, 32, 36, 37, 43, 46, 49, 57, 58, 60, 65, 71
85|2, 5, 6, 16, 22, 27, 31, 36, 42, 47, 51, 56, 57, 61, 67, 76, 81, 82
87|8, 11, 14, 17, 23, 29, 32, 38, 53, 54, 56, 59, 68, 71, 80, 83
91|1, 2, 3, 8, 15, 16, 17, 29, 30, 43, 45, 52, 58, 65, 66, 71, 73, 78, 79, 80, 84, 86
92|7, 11, 15, 19, 23, 43, 51, 63, 67, 79, 83, 91
93|1, 10, 13, 16, 19, 25, 34, 40, 55, 58, 63, 70, 79, 82, 88, 91
95|2, 12, 14, 19, 22, 27, 29, 32, 34, 37, 52, 57, 59, 67, 69, 72, 79, 84, 89, 94
111|3, 20, 23, 26, 29, 32, 35, 41, 44, 50, 56, 59, 68, 72, 77, 83, 86, 95, 101, 110
115|1, 2, 11, 16, 17, 27, 31, 32, 47, 51, 56, 57, 62, 66, 70, 71, 77, 86, 92, 96, 97, 101, 102, 112
116|3, 7, 19, 27, 32, 35, 43, 47, 67, 79, 83, 99, 103, 111, 115
119|1, 2, 8, 22, 23, 24, 30, 31, 36, 52, 57, 58, 59, 64, 65, 70, 73, 85, 86, 87, 92, 93, 99, 107, 108, 115
123|1, 6, 13, 21, 22, 24, 25, 31, 34, 36, 37, 52, 55, 67, 70, 73, 82, 85, 88, 100, 103, 106, 114, 115, 118, 121
124|7, 15, 19, 23, 27, 31, 51, 59, 67, 71, 87, 91, 103, 107, 111, 123
129|1, 4, 10, 19, 22, 25, 28, 37, 46, 52, 55, 70, 73, 79, 87, 100, 109, 112, 118, 121, 124, 127
133|2, 3, 10, 13, 20, 30, 34, 41, 45, 48, 51, 52, 58, 59, 72, 76, 79, 83, 86, 87, 90, 97, 108, 115, 121, 125, 128, 129
141|1, 4, 7, 16, 25, 28, 34, 37, 49, 55, 61, 64, 79, 94, 97, 100, 103, 106, 112, 115, 118, 121, 130, 136
143|2, 8, 12, 15, 16, 34, 35, 38, 41, 46, 48, 55, 59, 60, 67, 68, 74, 78, 81, 85, 90, 93, 100, 103, 107, 111, 112, 125, 126, 129, 133, 137
145|1, 2, 6, 16, 17, 21, 22, 31, 32, 35, 46, 47, 51, 60, 61, 67, 76, 87, 92, 96, 97, 102, 112, 116, 117, 121, 122, 126, 131, 132, 137, 141
148|1, 20, 41, 45, 49, 53, 57, 61, 65, 69, 77, 81, 85, 93, 113, 117, 121, 125, 133
155|1, 3, 11, 13, 21, 23, 36, 43, 46, 48, 53, 56, 58, 63, 73, 83, 86, 91, 96, 98, 106, 108, 116, 118, 136, 141, 146, 148, 151, 153
159|1, 4, 13, 16, 19, 22, 25, 43, 46, 55, 61, 64, 76, 79, 85, 91, 97, 106, 109, 112, 118, 124, 130, 139, 142, 145, 150, 154
161|4, 7, 9, 15, 22, 30, 32, 36, 44, 50, 51, 53, 58, 67, 72, 74, 78, 81, 86, 95, 99, 107, 109, 113, 114, 120, 127, 128, 130, 137, 141, 142, 151, 155
164|1, 13, 17, 21, 29, 36, 45, 49, 57, 73, 77, 93, 101, 109, 113, 117, 120, 125, 141, 149, 157, 161
172|7, 11, 19, 27, 31, 35, 39, 40, 43, 63, 68, 71, 83, 84, 99, 111, 119, 123, 127, 143, 151, 155, 163, 167, 171
177|2, 8, 11, 14, 23, 32, 38, 44, 47, 50, 56, 59, 65, 77, 83, 89, 92, 98, 101, 113, 128, 131, 149, 152, 155, 158, 161, 170, 173, 176
183|1, 4, 10, 16, 19, 22, 40, 63, 64, 67, 69, 70, 73, 76, 79, 85, 88, 91, 93, 94, 97, 109, 115, 123, 124, 126, 127, 130, 133, 138, 142, 154, 157, 160, 166, 169
185|2, 5, 14, 17, 22, 29, 34, 37, 39, 42, 47, 54, 59, 62, 67, 79, 84, 87, 92, 99, 102, 104, 107, 117, 122, 124, 127, 129, 139, 144, 147, 154, 159, 162, 164, 177, 182, 184
187|9, 15, 16, 20, 26, 30, 32, 37, 41, 43, 49, 54, 60, 63, 64, 71, 74, 75, 81, 88, 92, 97, 98, 108, 109, 114, 115, 118, 119, 125, 126, 131, 142, 148, 151, 152, 159, 162, 169, 173, 185, 186
188|3, 7, 27, 47, 51, 55, 59, 63, 71, 75, 79, 83, 95, 103, 111, 115, 119, 131, 143, 147, 155, 159, 175, 183
201|1, 4, 7, 13, 19, 34, 37, 43, 46, 49, 61, 70, 72, 76, 79, 82, 84, 94, 103, 106, 109, 112, 118, 124, 139, 148, 151, 169, 172, 175, 178, 180, 181, 190, 193, 199
203|4, 5, 8, 12, 15, 18, 22, 26, 33, 39, 47, 57, 64, 67, 68, 71, 85, 92, 95, 96, 99, 102, 109, 113, 120, 124, 131, 134, 138, 144, 151, 155, 158, 172, 173, 179, 180, 183, 186, 187, 200, 201
205|3, 8, 14, 18, 20, 28, 29, 39, 44, 48, 49, 58, 59, 63, 69, 73, 78, 89, 93, 98, 99, 104, 108, 113, 114, 118, 119, 134, 139, 143, 149, 154, 158, 159, 163, 178, 184, 190, 193, 199, 203, 204
209|8, 10, 15, 17, 19, 31, 32, 37, 43, 48, 50, 53, 54, 65, 70, 72, 74, 75, 81, 86, 92, 94, 103, 105, 107, 108, 119, 127, 129, 130, 131, 138, 141, 149, 151, 160, 162, 164, 169, 184, 186, 195, 202, 206, 207, 208
212|9, 12, 13, 21, 25, 33, 37, 45, 49, 65, 77, 89, 101, 105, 125, 129, 137, 145, 149, 157, 165, 177, 185, 197, 201, 205, 209
213|7, 13, 22, 28, 31, 34, 46, 52, 55, 61, 67, 70, 82, 85, 88, 94, 97, 106, 112, 115, 118, 124, 127, 130, 133, 136, 139, 142, 163, 175, 181, 184, 193, 205, 208, 211
215|3, 9, 19, 23, 29, 39, 43, 44, 48, 49, 53, 58, 64, 68, 69, 70, 73, 74, 78, 88, 89, 93, 109, 113, 118, 134, 138, 139, 144, 148, 154, 158, 159, 164, 168, 173, 174, 178, 179, 193, 198, 199, 203, 204
217|1, 4, 5, 8, 18, 19, 25, 32, 33, 36, 39, 40, 47, 50, 64, 67, 71, 78, 81, 82, 95, 102, 103, 109, 113, 131, 134, 138, 144, 152, 159, 162, 165, 169, 173, 180, 183, 186, 187, 190, 193, 194, 200, 204, 211, 214
219|1, 4, 7, 10, 16, 25, 31, 34, 40, 52, 76, 78, 79, 82, 85, 88, 91, 97, 100, 103, 109, 114, 118, 124, 127, 132, 133, 147, 148, 151, 154, 163, 166, 171, 175, 181, 187, 193, 196, 198, 205, 208
